"REFERENCE_PAYMENT","METODO_RECIBO","NUM_PAGO","NUM_ESTABLECIMIENTO","MONTO_PAGO","MONTO_PAGO_NETO","DIFERENCIA","IMPORTE_BC","IMPORTE_TMS","TOLERANCIA","FECHA_PAGO","NUMEROS_DOCUMENTOS","TABLA_PUENTE_IDS"
"AMEXCO SE 9356623992-27022024","SANTANDER_3550","0530055314","9356623992",1025,1003.01,0,1003.01,1025,"0",27/02/24,"22224223ERT04GTP1TF_1025","1202663"
"AMEXCO SE 9356623992-28022024","SANTANDER_3550","0570094611","9356623992",1325,1295.57,0,1295.57,1325,"0",28/02/24,"2622421ERT04ITPTF_95,26224223ERT04GTP1TF_410,2622491ERT04GTP1TF_820","1203830,1203837,1203972"
"AMEXCO SE 9356623992-28022024","SANTANDER_3550","0540073935","9356623992",1985,1942.41,0,1942.41,1985,"0",28/02/24,"2322421ERT04ITPTF_285,23224294ERT04GTP1TF_820,2322491ERT04GTP1TF_410,2322491ERT4MSTP1TF_205,2422417ERP04SERTF_265","1202960,1203099,1203101,1203133,1203284"
"AMEXCO SE 9356623992-29022024","SANTANDER_3550","0580104554","9356623992",2068,1572.4,0,1572.4,2068,"0",29/02/24,"2722417ERT04MTPTF_18,27224223ERT04GTP1TF_2050","1204152,1204165"
"AMEXCO SE 9359908044-01032024","SANTANDER_3550","0590122299","9359908044",5511,5381.5,0,5381.5,5511,"0",01/03/24,"28224277ERP04AERTF_4773,28224277ERT04GTP1TF_738","1204442,1204484"
"AMEXCO SE 9359908044-05032024","SANTANDER_3550","0610046465","9359908044",9583,9370.82,0,9370.82,9583,"0",05/03/24,"03324277ERP04AERTF_8690,03324277ERP04PERTF_852,03324277ERP4MSERTF_41","1205696,1205799,1205831"
"AMEXCO SE 9359908044-05032024","SANTANDER_3550","0600028254","9359908044",9888,9675.8,0,9675.8,9888,"0",05/03/24,"28224277ERP04AERTF_408,29224277ERP04AERTF_5997,29224277ERP4MSERTF_449,29224277ERT04GTP1TF_3034","1204442,1204763,1204807,1204962"
"AMEXCO SE 9359908044-06032024","SANTANDER_3550","0610046464","9359908044",8377,8139.23,0,8139.23,8377,"0",06/03/24,"01324277ERP04AERTF_3141,01324277ERT04GTP1TF_1605,02324277ERP04AERTF_2815,02324277ERP4MSERTF_408,29224277ERP04AERTF_408","1204763,1205090,1205137,1205401,1205567"
"AMEXCO SE 9359908044-06032024","SANTANDER_3550","0640066848","9359908044",9288,9082.36,0,9082.36,9288,"0",06/03/24,"03324277ERP04AERTF_816,03324277ERT04GTP1TF_1558,04324277ERP04AERTF_4243,04324277ERT04GTP1TF_2671","1205696,1205740,1205953,1205999"
"AMEXCO SE 9359908044-07032024","SANTANDER_3550","0650077301","9359908044",3885,3798.99,0,3798.99,3885,"0",07/03/24,"05324277ERP04AERTF_2511,05324277ERP04PERTF_144,05324277ERT04GTP1TF_1230","1206235,1206274,1206283"
"AMEXCO SE 9359908044-08032024","SANTANDER_3550","0660092442","9359908044",9388,9167.38,0,9167.38,9388,"0",08/03/24,"05324277ERP04AERTF_816,06324277ERP04AERTF_7711,06324277ERT04GTP1TF_861","1206235,1206503,1206549"
"AMEXCO SE 9359908044-12032024","SANTANDER_3550","0670097226","9359908044",6028,5898.64,0,5898.64,6028,"0",12/03/24,"07324277ERP04AERTF_4388,07324277ERT04GTP1TF_1640","1206811,1206855"
"AMEXCO SE 9359908044-12032024","SANTANDER_3550","0680117168","9359908044",7699,7528.54,0,7528.54,7699,"0",12/03/24,"09324277ERP04AERTF_1183,10324277ERP04AERTF_4875,10324277ERP04PERTF_288,10324277ERP4MSERTF_41,10324277ERT04GTP1TF_1230,10324277ERT4MSTP1TF_82","1207405,1207694,1207739,1207799,1207831,1207847"
"AMEXCO SE 9359908044-13032024","SANTANDER_3550","0710037843","9359908044",8841,8645.25,0,8645.25,8841,"0",13/03/24,"10324277ERP04AERTF_408,11324277ERP04AERTF_5018,11324277ERT04GTP1TF_3415","1207694,1207932,1207976"
"AMEXCO SE 9359908044-13032024","SANTANDER_3550","0680117167","9359908044",14856,14537.19,0,14537.19,14856,"0",13/03/24,"08324277ERP04AERTF_408,08324277ERP04AERTF_6242,08324277ERP04SERTF_520,08324277ERT04GTP1TF_1230,09324277ERP04AERTF_5630,09324277ERT04GTP1TF_826","1207106,1207106,1207149,1207242,1207405,1207454"
"AMEXCO SE 9359908044-14032024","SANTANDER_3550","0720047405","9359908044",10090,9866.59,0,9866.59,10090,"0",14/03/24,"11324277ERP04AERTF_775,12324277ERP04AERTF_6609,12324277ERT04GTP1TF_2706","1207932,1208248,1208287"
"AMEXCO SE 9359908044-15032024","SANTANDER_3550","0730065245","9359908044",7114,6941.99,0,6941.99,7114,"0",15/03/24,"12324277ERP04AERTF_816,13324277ERP04AERTF_3264,13324277ERT04GTP1TF_2788,13324277ERT4MSTP1TF_246","1208248,1208546,1208588,1208743"
"AMEXCO SE 9359908044-22022024","SANTANDER_3550","0510038161","9359908044",8917,8719.58,-8101,16820.58,17018,"0",22/02/24,"19224277ERP04AERTF_816,20224277ERP04AERTF_6895,20224277ERP04AERTF_6895,20224277ERT04GTP1TF_1206,20224277ERT04GTP1TF_1206","1201693,1202020,1202020,1202061,1202061"
"AMEXCO SE 9359908044-27022024","SANTANDER_3550","0530058244","9359908044",6666,6522.95,0,6522.95,6666,"0",27/02/24,"22224277ERP04AERTF_3468,22224277ERT04GTP1TF_3198","1202634,1202680"
"AMEXCO SE 9359908044-27022024","SANTANDER_3550","0540077621","9359908044",7561,7393.59,0,7393.59,7561,"0",27/02/24,"25224277ERP04AERTF_4447,25224277ERP4MSERTF_408,25224277ERT04GTP1TF_2706","1203561,1203611,1203696"
"AMEXCO SE 9359908044-28022024","SANTANDER_3550","0570097532","9359908044",5679,5553.27,0,5553.27,5679,"0",28/02/24,"25224277ERP04AERTF_408,26224277ERP04AERTF_3631,26224277ERT04GTP1TF_1640","1203561,1203809,1203857"
"AMEXCO SE 9359908044-28022024","SANTANDER_3550","0540077620","9359908044",20233,19798.8,-1560,21358.8,20233,"0",28/02/24,"22224277ERP04AERTF_1632,23224277ERP04AERTF_5100,23224277ERP04AERTF_775,23224277ERP04SERTF_260,23224277ERP4MSJERTF_1560,23224277ERT04GTP1TF_2175,23224277ERT4MSTP1TF_205,24224277ERP04AERTF_9061,24224277ERT04GTP1TF_820,24224277ERT4MSTP1TF_205","1202634,1202941,1202941,1202985,1203081,1203105,1203163,1203268,1203309,1203457"
"AMEXCO SE 9359908044-29022024","SANTANDER_3550","0580107525","9359908044",11950,11685.42,0,11685.42,11950,"0",29/02/24,"27224277ERP04AERTF_6772,27224277ERT04GTP1TF_5178","1204138,1204186"
